Dates,Susceptible,VaccinatedSusceptible
27/06/2021,400375,449712
28/06/2021,398668,451077
29/06/2021,396846,452477
30/06/2021,394876,453914
01/07/2021,392961,455304
02/07/2021,390958,456668
03/07/2021,388868,458167
04/07/2021,386908,459568
05/07/2021,384707,460807
06/07/2021,382611,461937
07/07/2021,380443,463089
08/07/2021,377970,464453
09/07/2021,375117,466209
10/07/2021,372677,467717
11/07/2021,370013,469512
12/07/2021,366764,471482
13/07/2021,363149,473861
14/07/2021,359375,476420
15/07/2021,355302,479225
16/07/2021,351455,481815
17/07/2021,347467,484743
18/07/2021,343703,487602
19/07/2021,339666,490286
20/07/2021,335844,493045
21/07/2021,331984,495799
22/07/2021,328444,498347
23/07/2021,325019,500785
24/07/2021,321732,503192
25/07/2021,318883,505317
26/07/2021,315572,507606
27/07/2021,312310,510039
28/07/2021,309255,512329
29/07/2021,306372,514501
30/07/2021,303672,516541
31/07/2021,301128,518433
01/08/2021,298751,520516
02/08/2021,296507,522123
03/08/2021,294497,523633
04/08/2021,292258,525341
05/08/2021,289912,527124
06/08/2021,287532,529027
07/08/2021,285108,531013
08/08/2021,282687,533085
09/08/2021,280001,535128
10/08/2021,277752,536953
11/08/2021,275889,538359
12/08/2021,274226,539634
13/08/2021,272418,541060
14/08/2021,270821,542334
15/08/2021,269524,543525
16/08/2021,268090,544494
17/08/2021,266804,545453
18/08/2021,265255,546638
19/08/2021,263692,547853
20/08/2021,262254,548961
21/08/2021,260895,550046
22/08/2021,259525,551226
23/08/2021,257979,552434
24/08/2021,256435,553692
25/08/2021,255152,554729
26/08/2021,253950,555648
27/08/2021,252896,556454
28/08/2021,251730,557416
29/08/2021,250630,558347
30/08/2021,249401,559272
31/08/2021,248264,560187
01/09/2021,247172,561097
02/09/2021,246063,561971
03/09/2021,244834,562966
04/09/2021,243657,563970
05/09/2021,242504,565000
06/09/2021,241257,566006
07/09/2021,240047,567050
08/09/2021,238784,568148
09/09/2021,237600,569194
10/09/2021,236555,570113
11/09/2021,235535,571027
12/09/2021,234579,571898
13/09/2021,233602,572703
14/09/2021,232720,573444
15/09/2021,231939,574081
16/09/2021,231185,574723
17/09/2021,230466,575332
18/09/2021,229791,575897
19/09/2021,229150,576470
20/09/2021,228454,577020
21/09/2021,227821,577561
22/09/2021,227214,578067
23/09/2021,226632,578541
24/09/2021,226057,578994
25/09/2021,225550,579438
26/09/2021,225059,579871
27/09/2021,224553,580264
28/09/2021,224120,580604
29/09/2021,223688,580943
30/09/2021,223229,581294
01/10/2021,222823,581650
02/10/2021,222366,581988
03/10/2021,221988,582309
04/10/2021,221619,582574
05/10/2021,221245,582845
06/10/2021,220883,583117
07/10/2021,220513,583366
08/10/2021,220130,583619
09/10/2021,219766,583872
10/10/2021,219395,584168
11/10/2021,218959,584448
12/10/2021,218518,584738
13/10/2021,218096,585034
14/10/2021,217665,585329
15/10/2021,217259,585614
16/10/2021,216867,585889
17/10/2021,216530,586142
18/10/2021,216124,586383
19/10/2021,215730,586638
20/10/2021,215345,586883
21/10/2021,214926,587167
22/10/2021,214510,587427
23/10/2021,214095,587722
24/10/2021,213708,588043
25/10/2021,213232,588334
26/10/2021,212796,588627
27/10/2021,212333,588923
28/10/2021,211932,589232
29/10/2021,211458,589512
30/10/2021,211011,589811
31/10/2021,210631,590080
01/11/2021,210195,590231
02/11/2021,209822,590400
03/11/2021,209427,590587
04/11/2021,209015,590776
05/11/2021,208622,590972
06/11/2021,208241,591171
07/11/2021,207869,591433
08/11/2021,207317,591667
09/11/2021,206787,591976
10/11/2021,206250,592249
11/11/2021,205712,592515
12/11/2021,205178,592851
13/11/2021,204595,593203
14/11/2021,204044,593566
15/11/2021,203327,593873
16/11/2021,202628,594164
17/11/2021,201938,594520
18/11/2021,201220,594851
19/11/2021,200431,595241
20/11/2021,199686,595730
21/11/2021,198904,596321
22/11/2021,197820,596883
23/11/2021,196741,597539
24/11/2021,195619,598251
25/11/2021,194388,599033
26/11/2021,193090,599840
27/11/2021,191824,600678
28/11/2021,190633,601565
29/11/2021,189230,602314
30/11/2021,187852,603081
01/12/2021,186543,603883
02/12/2021,185184,604704
03/12/2021,183833,605531
04/12/2021,182601,606339
05/12/2021,181492,607176
06/12/2021,180052,607857
07/12/2021,178772,608560
08/12/2021,177524,609236
09/12/2021,176293,609869
10/12/2021,175130,610463
11/12/2021,174091,611017
12/12/2021,173133,611596
13/12/2021,171918,612043
14/12/2021,170845,612495
15/12/2021,169783,612966
16/12/2021,168714,613383
17/12/2021,167655,613799
18/12/2021,166707,614245
19/12/2021,165737,614754
20/12/2021,164541,615139
21/12/2021,163287,615515
22/12/2021,162124,615824
23/12/2021,160986,616060
24/12/2021,159872,616262
25/12/2021,159103,616699
26/12/2021,158003,616740
27/12/2021,156532,616181
28/12/2021,155058,615212
29/12/2021,153420,613504
30/12/2021,151566,611362
31/12/2021,149740,609426
01/01/2022,148543,608392
02/01/2022,146627,606542
03/01/2022,143671,603748
04/01/2022,141041,601502
05/01/2022,138137,599189
06/01/2022,136364,597966
07/01/2022,133158,595844
08/01/2022,130744,594551
09/01/2022,128751,593537
10/01/2022,126024,592129
11/01/2022,123919,591276
12/01/2022,121749,590278
13/01/2022,119380,589627
14/01/2022,117237,589109
15/01/2022,115463,588754
16/01/2022,113860,588529
17/01/2022,111499,588109
18/01/2022,109690,587853
19/01/2022,107929,587472
20/01/2022,106177,587156
21/01/2022,104451,586769
22/01/2022,102894,586439
23/01/2022,101461,586098
24/01/2022,99280,585421
25/01/2022,97558,584874
26/01/2022,95801,584135
27/01/2022,93958,583494
28/01/2022,92185,582816
29/01/2022,90763,582190
30/01/2022,89217,581559
31/01/2022,86889,580488
01/02/2022,84916,579613
02/02/2022,83026,578526
03/02/2022,81119,577486
04/02/2022,79323,576501
05/02/2022,77826,575626
06/02/2022,76533,574726
07/02/2022,74507,573455
08/02/2022,72876,572335
09/02/2022,71388,571165
10/02/2022,69835,570066
11/02/2022,68263,569182
12/02/2022,67049,568466
13/02/2022,65802,567722
14/02/2022,63916,566702
15/02/2022,62333,565813
16/02/2022,60808,564915
17/02/2022,59414,564182
18/02/2022,57933,563453
19/02/2022,56849,562830
20/02/2022,55697,562226
21/02/2022,53980,561363
22/02/2022,52613,560577
23/02/2022,51272,559826
24/02/2022,50099,559162
25/02/2022,48957,558570
26/02/2022,47969,558041
27/02/2022,47075,557555
28/02/2022,45558,556823
01/03/2022,44329,556149
02/03/2022,43045,555417
03/03/2022,41727,554717
04/03/2022,40425,554054
05/03/2022,39271,553465
06/03/2022,38147,552879
07/03/2022,37124,552316
08/03/2022,34688,551036
09/03/2022,32877,549912
10/03/2022,30807,548636
11/03/2022,29001,547564
12/03/2022,27320,546558
13/03/2022,25923,545735
14/03/2022,23450,544406
15/03/2022,21382,543280
16/03/2022,19130,541814
17/03/2022,16657,540459
18/03/2022,14254,539078
19/03/2022,12194,537865
20/03/2022,9962,536529
21/03/2022,6598,534664
22/03/2022,3671,532967
23/03/2022,730,531277
24/03/2022,-2420,529386
25/03/2022,-4360,528083
26/03/2022,-7543,526250
27/03/2022,-10256,524634
28/03/2022,-14393,522403
29/03/2022,-17462,520632
30/03/2022,-20311,518929
31/03/2022,-22984,517384
01/04/2022,-24496,516400
02/04/2022,-26808,515017
03/04/2022,-28570,513946
04/04/2022,-31256,512551
05/04/2022,-32995,511489
06/04/2022,-34681,510586
07/04/2022,-36250,509805
08/04/2022,-37545,509184
09/04/2022,-38648,508619
10/04/2022,-39570,508121
11/04/2022,-40995,507553
12/04/2022,-42009,507109
13/04/2022,-42842,506730
14/04/2022,-43702,506423
15/04/2022,-44400,506161
16/04/2022,-45009,505935
17/04/2022,-45547,505739
18/04/2022,-46252,505471
19/04/2022,-46807,505270
20/04/2022,-47366,505049
21/04/2022,-47813,504828
22/04/2022,-48196,504698
23/04/2022,-48534,504581
24/04/2022,-48760,504539
25/04/2022,-49090,504449
26/04/2022,-49579,504194
27/04/2022,-50048,504024
28/04/2022,-50512,503906
29/04/2022,-50871,503765
