Dates,Susceptible,VaccinatedSusceptible,Infected,VaccinatedInfected,Hospitalized,VaccinatedHospitalized,Recovered,Extinct,Vaccinations
19/04/2020,895917,0,88,0,5,0,0,0,0
20/04/2020,895912,0,93,0,5,0,0,0,0
21/04/2020,895908,0,97,0,6,0,0,0,0
22/04/2020,895906,0,99,0,4,0,0,0,0
23/04/2020,895903,0,102,0,5,0,0,0,0
24/04/2020,895902,0,103,0,5,0,0,0,0
25/04/2020,895900,0,105,0,4,0,0,0,0
26/04/2020,895900,0,105,0,4,0,0,0,0
27/04/2020,895893,0,112,0,4,0,0,0,0
28/04/2020,895893,0,112,0,5,0,0,0,0
29/04/2020,895891,0,114,0,3,0,0,0,0
30/04/2020,895891,0,114,0,3,0,0,0,0
01/05/2020,895888,0,117,0,2,0,0,0,0
02/05/2020,895885,0,120,0,2,0,0,0,0
03/05/2020,895885,0,120,0,2,0,0,0,0
04/05/2020,895885,0,120,0,2,0,0,0,0
05/05/2020,895883,0,122,0,2,0,0,0,0
06/05/2020,895883,0,122,0,2,0,0,0,0
07/05/2020,895882,0,123,0,1,0,0,0,0
08/05/2020,895882,0,123,0,1,0,0,0,0
09/05/2020,895881,0,124,0,2,0,0,0,0
10/05/2020,895881,0,124,0,2,0,0,0,0
11/05/2020,895881,0,124,0,2,0,0,0,0
12/05/2020,895880,0,125,0,1,0,0,0,0
13/05/2020,895880,0,125,0,1,0,0,0,0
14/05/2020,895879,0,126,0,1,0,0,0,0
15/05/2020,895878,0,127,0,1,0,0,0,0
16/05/2020,895877,0,128,0,1,0,0,0,0
17/05/2020,895877,0,128,0,1,0,0,0,0
18/05/2020,895877,0,128,0,1,0,0,0,0
19/05/2020,895875,0,130,0,1,0,0,0,0
20/05/2020,895874,0,131,0,1,0,0,0,0
21/05/2020,895871,0,134,0,2,0,0,0,0
22/05/2020,895914,0,91,0,2,0,43,0,0
23/05/2020,895950,0,55,0,2,0,81,0,0
24/05/2020,895964,0,41,0,2,0,95,0,0
25/05/2020,895980,0,25,0,2,0,112,0,0
26/05/2020,895985,0,20,0,2,0,117,0,0
27/05/2020,895987,0,18,0,2,0,120,0,0
28/05/2020,895988,0,17,0,2,0,121,0,0
29/05/2020,895988,0,17,0,2,0,122,0,0
30/05/2020,895988,0,17,0,2,0,122,0,0
31/05/2020,895987,0,18,0,2,0,122,0,0
01/06/2020,895986,0,19,0,2,0,122,0,0
02/06/2020,895986,0,19,0,2,0,122,0,0
03/06/2020,895986,0,19,0,2,0,122,0,0
04/06/2020,895986,0,19,0,2,0,122,0,0
05/06/2020,895987,0,18,0,2,0,124,0,0
06/06/2020,895986,0,19,0,2,0,124,0,0
07/06/2020,895986,0,19,0,2,0,124,0,0
08/06/2020,895985,0,20,0,2,0,124,0,0
09/06/2020,895985,0,20,0,2,0,124,0,0
10/06/2020,895983,0,22,0,3,0,124,0,0
11/06/2020,895985,0,20,0,3,0,128,0,0
12/06/2020,895985,0,20,0,3,0,128,0,0
13/06/2020,895985,0,20,0,3,0,129,0,0
14/06/2020,895989,0,16,0,3,0,133,0,0
15/06/2020,895990,0,15,0,3,0,134,0,0
16/06/2020,895990,0,15,0,3,0,134,0,0
17/06/2020,895990,0,15,0,2,0,134,0,0
18/06/2020,895992,0,13,0,1,0,136,0,0
19/06/2020,895992,0,13,0,1,0,136,0,0
20/06/2020,895991,0,14,0,1,0,136,0,0
21/06/2020,895991,0,14,0,1,0,136,0,0
22/06/2020,895991,0,14,0,0,0,136,0,0
23/06/2020,895992,0,13,0,0,0,137,0,0
24/06/2020,895992,0,13,0,0,0,137,0,0
25/06/2020,895991,0,14,0,0,0,138,0,0
26/06/2020,895991,0,14,0,0,0,138,0,0
27/06/2020,895991,0,14,0,0,0,138,0,0
28/06/2020,895991,0,14,0,1,0,139,0,0
29/06/2020,895991,0,14,0,1,0,140,0,0
30/06/2020,895991,0,14,0,1,0,141,0,0
01/07/2020,895991,0,14,0,1,0,141,0,0
02/07/2020,895995,0,10,0,1,0,145,0,0
03/07/2020,895997,0,8,0,1,0,148,0,0
04/07/2020,895995,0,10,0,1,0,148,0,0
05/07/2020,895995,0,10,0,1,0,148,0,0
06/07/2020,895995,0,10,0,0,0,148,0,0
07/07/2020,895994,0,11,0,0,0,148,0,0
08/07/2020,895993,0,12,0,0,0,148,0,0
09/07/2020,895993,0,12,0,0,0,148,0,0
10/07/2020,895987,0,18,0,0,0,148,0,0
11/07/2020,895987,0,18,0,0,0,148,0,0
12/07/2020,895986,0,19,0,0,0,148,0,0
13/07/2020,895986,0,19,0,0,0,149,0,0
14/07/2020,895985,0,20,0,0,0,149,0,0
15/07/2020,895980,0,25,0,1,0,149,0,0
16/07/2020,895980,0,25,0,1,0,149,0,0
17/07/2020,895979,0,26,0,1,0,151,0,0
18/07/2020,895978,0,27,0,1,0,151,0,0
19/07/2020,895978,0,27,0,1,0,151,0,0
20/07/2020,895978,0,27,0,1,0,153,0,0
21/07/2020,895978,0,27,0,1,0,153,0,0
22/07/2020,895973,0,32,0,0,0,153,0,0
23/07/2020,895972,0,33,0,0,0,153,0,0
24/07/2020,895969,0,36,0,1,0,154,0,0
25/07/2020,895967,0,38,0,1,0,154,0,0
26/07/2020,895966,0,39,0,1,0,154,0,0
27/07/2020,895966,0,39,0,1,0,156,0,0
28/07/2020,895962,0,43,0,1,0,157,0,0
29/07/2020,895956,0,49,0,4,0,158,0,0
30/07/2020,895940,0,65,0,5,0,159,0,0
31/07/2020,895932,0,73,0,4,0,159,0,0
01/08/2020,895931,0,74,0,4,0,165,0,0
02/08/2020,895927,0,78,0,4,0,165,0,0
03/08/2020,895914,0,91,0,3,0,165,0,0
04/08/2020,895906,0,99,0,4,0,166,0,0
05/08/2020,895904,0,101,0,5,0,171,0,0
06/08/2020,895900,0,105,0,5,0,172,0,0
07/08/2020,895893,0,112,0,5,0,173,0,0
08/08/2020,895889,0,116,0,5,0,173,0,0
09/08/2020,895888,0,117,0,4,0,176,0,0
10/08/2020,895876,0,129,0,4,0,177,0,0
11/08/2020,895867,0,138,0,4,0,177,0,0
12/08/2020,895863,0,142,0,1,0,178,0,0
13/08/2020,895860,0,145,0,1,0,184,0,0
14/08/2020,895854,0,151,0,1,0,187,0,0
15/08/2020,895852,0,153,0,1,0,188,0,0
16/08/2020,895847,0,158,0,1,0,189,0,0
17/08/2020,895842,0,163,0,1,0,191,0,0
18/08/2020,895831,0,174,0,1,0,193,0,0
19/08/2020,895835,0,170,0,1,0,202,0,0
20/08/2020,895833,0,172,0,1,0,209,0,0
21/08/2020,895839,0,166,0,0,0,223,0,0
22/08/2020,895847,0,158,0,0,0,234,0,0
23/08/2020,895845,0,160,0,0,0,238,0,0
24/08/2020,895841,0,164,0,0,0,243,0,0
25/08/2020,895847,0,158,0,0,0,256,0,0
26/08/2020,895844,0,161,0,1,0,264,0,0
27/08/2020,895845,0,160,0,1,0,270,0,0
28/08/2020,895848,0,157,0,1,0,276,0,0
29/08/2020,895854,0,151,0,2,0,284,0,0
30/08/2020,895856,0,149,0,3,0,288,0,0
31/08/2020,895859,0,146,0,2,0,292,0,0
01/09/2020,895871,0,134,0,2,0,306,0,0
02/09/2020,895879,0,126,0,2,0,315,0,0
03/09/2020,895883,0,122,0,2,0,320,0,0
04/09/2020,895889,0,116,0,0,0,330,0,0
05/09/2020,895895,0,110,0,0,0,337,0,0
06/09/2020,895899,0,106,0,0,0,341,0,0
07/09/2020,895905,0,100,0,0,0,348,0,0
08/09/2020,895910,0,95,0,0,0,355,0,0
09/09/2020,895920,0,85,0,0,0,367,0,0
10/09/2020,895924,0,81,0,0,0,373,0,0
11/09/2020,895930,0,75,0,0,0,383,0,0
12/09/2020,895933,0,72,0,0,0,390,0,0
13/09/2020,895935,0,70,0,0,0,392,0,0
14/09/2020,895934,0,71,0,1,0,397,0,0
15/09/2020,895936,0,69,0,1,0,407,0,0
16/09/2020,895935,0,70,0,1,0,414,0,0
17/09/2020,895937,0,68,0,2,0,424,0,0
18/09/2020,895931,0,74,0,2,0,429,0,0
19/09/2020,895925,0,80,0,2,0,431,0,0
20/09/2020,895918,0,87,0,4,0,433,0,0
21/09/2020,895913,0,92,0,4,0,435,0,0
22/09/2020,895902,0,103,0,5,0,436,0,0
23/09/2020,895881,0,124,0,6,0,439,0,0
24/09/2020,895874,0,131,0,8,0,441,0,0
25/09/2020,895857,0,148,0,8,0,443,0,0
26/09/2020,895863,0,142,0,10,0,453,0,0
27/09/2020,895851,0,154,0,12,0,457,0,0
28/09/2020,895830,0,175,0,10,0,457,0,0
29/09/2020,895818,0,187,0,7,0,458,0,0
30/09/2020,895806,0,199,0,7,0,460,0,0
01/10/2020,895797,0,208,0,5,0,462,0,0
02/10/2020,895784,0,221,0,6,0,465,0,0
03/10/2020,895769,0,236,0,5,0,469,0,0
04/10/2020,895762,0,243,0,5,0,477,0,0
05/10/2020,895735,0,270,0,5,0,477,0,0
06/10/2020,895727,0,278,0,4,0,484,0,0
07/10/2020,895700,0,305,0,3,0,491,0,0
08/10/2020,895688,0,317,0,6,0,499,0,0
09/10/2020,895662,0,343,0,4,0,507,0,0
10/10/2020,895657,0,348,0,4,0,518,0,0
11/10/2020,895624,0,381,0,4,0,525,0,0
12/10/2020,895578,0,427,0,6,0,535,0,0
13/10/2020,895533,0,472,0,7,0,544,0,0
14/10/2020,895457,0,548,0,6,0,555,0,0
15/10/2020,895351,0,654,0,12,0,578,0,0
16/10/2020,895257,0,748,0,14,0,587,0,0
17/10/2020,895194,0,811,0,22,0,599,0,0
18/10/2020,895157,0,848,0,21,0,604,0,0
19/10/2020,895050,0,955,0,24,0,620,0,0
20/10/2020,894946,0,1059,0,21,0,641,0,0
21/10/2020,894819,0,1186,0,24,0,652,0,0
22/10/2020,894692,0,1313,0,21,0,664,0,0
23/10/2020,894585,0,1420,0,21,0,674,0,0
24/10/2020,894527,0,1478,0,23,0,688,0,0
25/10/2020,894450,0,1555,0,22,0,699,0,0
26/10/2020,894323,0,1682,0,24,0,718,0,0
27/10/2020,894246,0,1759,0,25,0,746,0,0
28/10/2020,894170,0,1835,0,23,0,760,0,0
29/10/2020,894076,0,1929,0,26,0,792,0,0
30/10/2020,893927,0,2078,0,26,0,814,0,0
31/10/2020,893845,0,2160,0,25,0,850,0,0
01/11/2020,893730,0,2275,0,24,0,866,0,0
02/11/2020,893608,0,2397,0,24,0,906,0,0
03/11/2020,893512,0,2493,0,24,0,959,0,0
04/11/2020,893340,0,2665,0,27,0,1013,0,0
05/11/2020,893232,0,2773,0,32,0,1103,0,0
06/11/2020,893122,0,2883,0,30,0,1231,0,0
07/11/2020,893095,0,2910,0,28,0,1338,0,0
08/11/2020,893100,0,2905,0,30,0,1427,0,0
09/11/2020,892955,0,3050,0,31,0,1468,0,0
10/11/2020,892919,0,3086,0,26,0,1596,0,0
11/11/2020,892860,0,3145,0,26,0,1727,0,0
12/11/2020,892792,0,3213,0,24,0,1867,0,0
13/11/2020,892760,0,3245,0,25,0,2006,0,0
14/11/2020,892740,0,3265,0,28,0,2121,0,0
15/11/2020,892695,0,3310,0,24,0,2194,0,0
16/11/2020,892536,0,3469,0,26,0,2284,0,0
17/11/2020,892456,0,3549,0,26,0,2430,0,0
18/11/2020,892306,0,3699,0,29,0,2534,0,0
19/11/2020,892145,0,3860,0,33,0,2634,0,0
20/11/2020,892007,0,3998,0,42,0,2791,0,0
21/11/2020,892084,0,3921,0,42,0,3061,0,0
22/11/2020,892087,0,3918,0,46,0,3264,0,0
23/11/2020,892022,0,3983,0,47,0,3470,0,0
24/11/2020,892041,0,3964,0,52,0,3740,0,0
25/11/2020,892072,0,3933,0,53,0,4029,0,0
26/11/2020,892198,0,3807,0,57,0,4384,0,0
27/11/2020,892253,0,3752,0,58,0,4699,0,0
28/11/2020,892277,0,3728,0,64,0,4932,0,0
29/11/2020,892233,0,3772,0,70,0,5056,0,0
30/11/2020,892027,0,3978,0,70,0,5167,0,0
01/12/2020,891889,0,4116,0,64,0,5368,0,0
02/12/2020,891843,0,4162,0,65,0,5572,0,0
03/12/2020,891805,0,4200,0,62,0,5843,0,0
04/12/2020,891876,0,4129,0,59,0,6155,1,0
05/12/2020,891922,0,4083,0,65,0,6316,1,0
06/12/2020,891958,0,4047,0,71,0,6412,1,0
07/12/2020,892098,0,3907,0,69,0,6643,1,0
08/12/2020,892232,0,3773,0,68,0,6883,1,0
09/12/2020,892231,0,3774,0,68,0,7058,1,0
10/12/2020,892120,0,3885,0,67,0,7205,1,0
11/12/2020,891920,0,4085,0,68,0,7312,1,0
12/12/2020,891777,0,4228,0,69,0,7507,1,0
13/12/2020,891560,0,4445,0,70,0,7611,1,0
14/12/2020,891429,0,4576,0,74,0,7844,2,0
15/12/2020,891209,0,4796,0,78,0,7998,2,0
16/12/2020,891082,0,4923,0,79,0,8232,2,0
17/12/2020,890939,0,5066,0,72,0,8539,2,0
18/12/2020,890870,0,5135,0,76,0,8816,2,0
19/12/2020,890716,0,5289,0,84,0,8957,2,0
20/12/2020,890601,0,5404,0,92,0,9094,2,0
21/12/2020,890433,0,5572,0,99,0,9382,2,0
22/12/2020,890331,0,5674,0,99,0,9676,2,0
23/12/2020,890222,0,5783,0,114,0,9948,2,0
24/12/2020,890201,0,5804,0,109,0,10206,2,0
25/12/2020,890315,0,5690,0,113,0,10358,2,0
26/12/2020,890157,0,5848,0,116,0,10551,2,0
27/12/2020,889759,164,6082,0,119,0,10661,2,164
28/12/2020,889103,365,6537,0,119,0,10914,2,365
29/12/2020,888582,495,6928,0,125,0,11109,3,495
30/12/2020,887998,656,7351,0,120,0,11274,3,656
31/12/2020,887400,871,7734,0,120,0,11424,3,871
01/01/2021,887332,892,7781,0,135,0,11557,3,892
02/01/2021,886823,1026,8156,0,145,0,11822,3,1026
03/01/2021,886555,1183,8267,0,144,0,12162,3,1183
04/01/2021,886101,1478,8426,0,141,0,12635,3,1478
05/01/2021,885617,1734,8654,0,140,0,12996,3,1734
06/01/2021,885502,1758,8745,0,156,0,13319,3,1758
07/01/2021,885175,1938,8892,0,164,0,13664,3,1938
08/01/2021,884943,2148,8914,0,171,0,14012,4,2148
09/01/2021,884831,2210,8964,0,182,0,14285,4,2210
10/01/2021,884775,2282,8948,0,187,0,14540,4,2282
11/01/2021,884650,2480,8875,0,184,0,14913,4,2480
12/01/2021,884851,2653,8501,0,181,0,15536,5,2653
13/01/2021,885494,2833,7678,0,187,0,16611,5,2833
14/01/2021,885650,3020,7335,0,186,0,17152,6,3020
15/01/2021,885881,3188,6935,1,184,0,17789,6,3189
16/01/2021,886120,3287,6597,1,181,0,18292,6,3288
17/01/2021,886892,3301,5810,2,199,0,19229,9,3303
18/01/2021,887172,3555,5275,3,192,0,19914,11,3558
19/01/2021,887478,3676,4848,3,189,0,20516,12,3679
20/01/2021,887671,3803,4528,3,183,0,20995,12,3806
21/01/2021,887788,3917,4296,4,173,0,21342,12,3921
22/01/2021,888089,4006,3906,4,170,0,21832,13,4010
23/01/2021,888252,4027,3720,6,171,0,22137,15,4033
24/01/2021,888469,4055,3475,6,167,0,22484,15,4061
25/01/2021,888654,4140,3205,6,160,0,22883,15,4146
26/01/2021,888768,4235,2995,7,153,0,23220,15,4242
27/01/2021,888848,4370,2778,9,154,0,23541,15,4379
28/01/2021,888855,4492,2649,9,155,0,23792,16,4501
29/01/2021,888932,4578,2485,10,147,0,24074,16,4588
30/01/2021,889016,4602,2377,10,145,0,24272,16,4612
31/01/2021,889077,4617,2300,11,151,1,24447,17,4628
01/02/2021,889097,4703,2192,13,144,1,24653,18,4716
02/02/2021,889036,4857,2097,15,140,1,24882,18,4872
03/02/2021,888951,4991,2048,15,138,1,25044,18,5006
04/02/2021,888852,5122,2015,16,132,2,25209,18,5138
05/02/2021,888740,5253,1996,16,134,2,25354,19,5269
06/02/2021,888679,5310,2002,14,127,2,25453,19,5324
07/02/2021,888662,5361,1968,14,133,2,25578,20,5375
08/02/2021,888572,5508,1910,15,127,2,25742,21,5523
09/02/2021,888399,5714,1875,17,119,2,25874,21,5731
10/02/2021,888261,5903,1826,15,118,3,26029,23,5918
11/02/2021,887979,6191,1821,14,117,3,26128,24,6205
12/02/2021,887849,6356,1787,13,111,2,26248,24,6369
13/02/2021,887636,6545,1810,14,118,1,26337,25,6559
14/02/2021,887609,6583,1797,16,117,2,26444,25,6599
15/02/2021,887380,6830,1777,18,118,2,26564,26,6848
16/02/2021,887151,7067,1771,16,122,2,26666,27,7083
17/02/2021,886969,7308,1713,15,120,2,26816,27,7323
18/02/2021,886709,7570,1711,15,121,2,26936,28,7585
19/02/2021,886443,7881,1666,15,114,2,27060,28,7896
20/02/2021,886129,8180,1683,13,121,3,27168,28,8193
21/02/2021,886054,8250,1689,12,126,3,27255,28,8262
22/02/2021,885738,8544,1713,10,125,3,27392,28,8554
23/02/2021,885286,8944,1765,10,123,4,27499,28,8954
24/02/2021,884830,9331,1831,13,124,4,27589,28,9344
25/02/2021,884243,9799,1950,13,123,4,27675,28,9812
26/02/2021,883671,10276,2044,14,120,3,27767,28,10290
27/02/2021,883192,10569,2228,16,121,3,27844,28,10585
28/02/2021,883039,10598,2350,18,127,5,27929,28,10616
01/03/2021,882447,11081,2458,19,116,5,28061,28,11100
02/03/2021,881740,11629,2617,19,121,5,28157,28,11648
03/03/2021,881087,12101,2797,20,124,6,28240,28,12121
04/03/2021,880591,12421,2973,20,135,6,28343,28,12441
05/03/2021,880004,12867,3114,20,145,5,28467,28,12887
06/03/2021,879512,13125,3345,23,153,4,28544,28,13148
07/03/2021,879275,13166,3538,26,172,4,28637,28,13192
08/03/2021,878577,13621,3779,28,180,4,28774,28,13649
09/03/2021,877749,14217,4008,31,193,4,28914,29,14248
10/03/2021,876816,14865,4289,35,202,4,29077,30,14900
11/03/2021,875963,15481,4516,45,222,5,29222,30,15526
12/03/2021,875010,16200,4745,50,223,8,29392,30,16250
13/03/2021,874386,16615,4950,54,219,10,29527,30,16669
14/03/2021,874207,16650,5089,59,231,8,29726,31,16709
15/03/2021,874022,16735,5186,62,239,9,29889,31,16797
16/03/2021,873667,16924,5341,73,245,8,30169,31,16997
17/03/2021,873330,17086,5507,82,236,9,30382,31,17168
18/03/2021,873051,17254,5613,87,227,9,30612,31,17341
19/03/2021,872795,17457,5658,95,223,9,30937,31,17552
20/03/2021,872581,17569,5756,99,222,8,31173,31,17668
21/03/2021,872426,17617,5856,106,227,7,31425,31,17723
22/03/2021,871982,18061,5850,112,233,6,31857,31,18173
23/03/2021,871434,18661,5787,123,237,8,32217,31,18784
24/03/2021,870859,19282,5737,127,231,7,32593,31,19409
25/03/2021,870813,19350,5710,132,226,9,32912,31,19482
26/03/2021,870577,19668,5626,134,219,9,33328,31,19802
27/03/2021,870482,19776,5600,147,218,9,33621,31,19923
28/03/2021,870456,19814,5587,148,227,10,33931,31,19962
29/03/2021,870185,19992,5670,158,214,10,34311,31,20150
30/03/2021,869795,20388,5661,161,204,7,34707,32,20549
31/03/2021,869296,20866,5679,164,199,8,35133,32,21030
01/04/2021,869131,20928,5770,176,213,9,35438,32,21104
02/04/2021,868348,21592,5876,189,207,11,35847,32,21781
03/04/2021,868194,21712,5900,199,221,11,36194,32,21911
04/04/2021,867987,21789,6032,197,225,12,36483,33,21986
05/04/2021,867160,22453,6194,198,220,11,36943,33,22651
06/04/2021,866083,23372,6343,207,225,8,37322,33,23579
07/04/2021,865308,23931,6542,224,220,8,37643,33,24155
08/04/2021,864360,24613,6803,229,224,7,37967,35,24842
09/04/2021,863495,25253,7016,241,214,8,38290,35,25494
10/04/2021,862819,25697,7243,246,221,12,38560,36,25943
11/04/2021,862690,25743,7325,247,227,15,38867,36,25990
12/04/2021,862080,26150,7536,239,232,14,39286,36,26389
13/04/2021,861313,26700,7736,256,222,16,39676,36,26956
14/04/2021,860132,27663,7944,266,240,18,40083,37,27929
15/04/2021,858747,28819,8161,278,257,19,40521,37,29097
16/04/2021,857458,29852,8405,290,272,18,40980,38,30142
17/04/2021,856361,30509,8844,291,277,19,41340,38,30800
18/04/2021,855969,30534,9201,301,290,20,41700,40,30835
19/04/2021,854577,31543,9563,322,305,21,42328,41,31865
20/04/2021,852979,32842,9858,326,304,18,42853,41,33168
21/04/2021,851503,33966,10187,349,312,22,43364,41,34315
22/04/2021,849900,35288,10449,368,311,24,43907,41,35656
23/04/2021,848071,36774,10782,378,311,26,44480,41,37152
24/04/2021,846408,38056,11131,410,308,27,44910,41,38466
25/04/2021,846282,38084,11219,420,316,27,45370,42,38504
26/04/2021,844087,39955,11514,449,321,31,45956,42,40404
27/04/2021,842083,41867,11590,465,310,30,46560,43,42332
28/04/2021,839801,44062,11656,486,301,28,47219,44,44548
29/04/2021,837119,46691,11677,518,303,24,47901,44,47209
30/04/2021,834065,49927,11487,526,294,26,48610,45,50453
01/05/2021,831895,52376,11218,516,296,24,49243,45,52892
02/05/2021,832422,52469,10615,499,306,23,49905,45,52968
03/05/2021,832599,52594,10310,502,302,22,50651,46,53096
04/05/2021,829372,56027,10092,514,297,27,51572,48,56541
05/05/2021,826658,59263,9572,512,278,26,52635,49,59775
06/05/2021,824677,61682,9139,507,276,27,53489,49,62189
07/05/2021,821684,65384,8449,488,260,27,54538,50,65872
08/05/2021,819410,67994,8103,498,266,27,55279,50,68492
09/05/2021,819654,68132,7734,485,258,29,55925,50,68617
10/05/2021,816820,71555,7184,446,245,28,56867,51,72001
11/05/2021,813836,75064,6679,426,229,28,57669,52,75490
12/05/2021,810782,78704,6115,404,217,26,58461,52,79108
13/05/2021,808056,81922,5657,370,215,24,59166,52,82292
14/05/2021,805984,84553,5133,335,209,24,59898,53,84888
15/05/2021,804520,86223,4924,338,206,25,60264,53,86561
16/05/2021,804318,86556,4798,333,213,26,60535,53,86889
17/05/2021,802018,89163,4508,316,197,24,61027,53,89479
18/05/2021,800889,90716,4102,298,195,25,61602,53,91014
19/05/2021,798765,93292,3675,273,193,27,62174,53,93565
20/05/2021,797360,95039,3357,249,181,25,62623,53,95288
21/05/2021,796315,96386,3079,225,177,20,63060,53,96611
22/05/2021,795276,97626,2885,218,167,19,63359,53,97844
23/05/2021,795410,97706,2685,204,167,18,63630,53,97910
24/05/2021,792975,100452,2388,190,155,18,64038,54,100642
25/05/2021,792420,101258,2166,161,149,17,64369,55,101419
26/05/2021,791127,102730,2000,148,147,15,64620,56,102878
27/05/2021,789597,104372,1895,141,143,15,64816,56,104513
28/05/2021,788401,105717,1762,125,133,12,65033,56,105842
29/05/2021,787899,106301,1683,122,133,12,65180,56,106423
30/05/2021,787956,106380,1554,115,132,12,65360,56,106495
31/05/2021,787849,106654,1398,104,128,11,65580,56,106758
01/06/2021,787624,106981,1291,109,124,11,65754,56,107090
02/06/2021,787509,107174,1220,102,120,10,65881,56,107276
03/06/2021,785478,109256,1165,106,117,12,66000,56,109362
04/06/2021,784444,110355,1090,116,117,11,66137,57,110471
05/06/2021,783661,111188,1043,113,116,11,66236,57,111301
06/06/2021,783624,111277,995,109,114,10,66320,58,111386
07/06/2021,783329,111616,956,104,113,9,66429,58,111720
08/06/2021,782179,112772,946,108,113,7,66517,58,112880
09/06/2021,780520,114431,946,108,110,7,66588,58,114539
10/06/2021,779733,115240,928,104,111,8,66663,58,115344
11/06/2021,777754,117239,910,102,108,8,66743,58,117341
12/06/2021,776675,118329,894,107,104,8,66798,58,118436
13/06/2021,776620,118390,886,109,102,9,66851,58,118499
14/06/2021,774826,120191,873,115,103,9,66915,58,120306
15/06/2021,773111,121899,873,122,104,8,66985,58,122021
16/06/2021,772201,122793,890,121,109,8,67046,58,122914
17/06/2021,771394,123582,913,116,112,8,67096,58,123698
18/06/2021,770795,124173,924,113,117,8,67165,58,124286
19/06/2021,770121,124826,951,107,117,8,67215,58,124933
20/06/2021,769993,124932,967,113,121,8,67258,58,125045
21/06/2021,769887,125019,985,114,121,8,67320,58,125133
22/06/2021,769324,125505,1046,130,121,8,67395,58,125635
23/06/2021,768452,126278,1130,145,119,10,67462,58,126423
24/06/2021,767743,126863,1234,165,121,10,67516,58,127028
25/06/2021,766855,127586,1379,185,114,9,67579,58,127771
26/06/2021,766535,127728,1523,219,114,11,67633,58,127947
27/06/2021,766328,127746,1686,245,122,12,67679,58,127991
28/06/2021,765611,128184,1928,282,124,12,67742,58,128466
29/06/2021,764370,129084,2220,331,131,11,67822,58,129415
30/06/2021,763423,129561,2641,380,123,12,67884,58,129941
01/07/2021,762214,130318,3030,443,127,13,67957,58,130761
02/07/2021,761291,130683,3494,537,130,14,68038,58,131220
03/07/2021,759957,131497,3926,625,130,13,68108,58,132122
04/07/2021,759496,131473,4346,690,138,16,68182,58,132163
05/07/2021,758102,132014,5079,810,146,21,68290,58,132824
06/07/2021,757028,132234,5803,940,142,19,68400,58,133174
07/07/2021,755512,132916,6497,1080,151,19,68580,58,133996
08/07/2021,753486,134004,7284,1231,158,19,68747,58,135235
09/07/2021,751188,135421,8031,1365,159,25,68959,58,136786
10/07/2021,750372,135487,8677,1469,172,26,69140,58,136956
11/07/2021,749774,135444,9239,1548,176,29,69365,58,136992
12/07/2021,747197,137121,9940,1747,179,28,69743,59,138868
13/07/2021,745350,138144,10632,1879,191,33,70150,60,140023
14/07/2021,743535,139223,11210,2037,197,34,70626,60,141260
15/07/2021,741178,140868,11808,2151,206,34,71182,60,143019
16/07/2021,739070,142354,12354,2227,211,33,71814,60,144581
17/07/2021,738363,142554,12772,2316,229,32,72360,60,144870
18/07/2021,738002,142521,13093,2389,241,34,72867,60,144910
19/07/2021,736881,143265,13369,2490,244,34,73840,62,145755
20/07/2021,735700,144303,13483,2519,251,36,74758,62,146822
21/07/2021,734627,145253,13578,2547,263,38,75739,62,147800
22/07/2021,733781,146167,13537,2520,268,41,76790,62,148687
23/07/2021,732989,147064,13402,2550,262,41,77877,62,149614
